dp_city_id	dp_city_name
510	涞水县
511	高阳县
512	安新县
513	雄县
514	曲阳县
515	阜平县
516	博野县
517	蠡县
518	冀州市
519	深州市
520	枣强县
521	武邑县
522	武强县
523	饶阳县
524	安平县
525	故城县
526	景县
527	阜城县
528	泊头市
529	任丘市
530	黄骅市
531	河间市
532	沧县
533	青县
534	东光县
535	海兴县
536	盐山县
537	肃宁县
538	南皮县
539	吴桥县
540	献县
541	孟村回族自治县
542	南宫市
543	沙河市
544	邢台县
545	临城县
546	内丘县
547	柏乡县
548	隆尧县
549	任县
550	南和县
551	宁晋县
552	巨鹿县
553	新河县
554	广宗县
555	平乡县
556	威县
557	清河县
558	临西县
559	武安市
560	邯郸县
561	临漳县
562	成安县
563	大名县
564	涉县
565	磁县
566	肥乡县
567	永年县
568	邱县
569	鸡泽县
570	广平县
571	馆陶县
572	魏县
573	曲周县
574	古交市
575	清徐县
576	阳曲县
577	娄烦县
578	山阴县
579	应县
580	右玉县
581	怀仁县
582	阳高县
583	天镇县
584	广灵县
585	灵丘县
586	浑源县
587	左云县
588	大同县
589	平定县
590	盂县
591	潞城市
592	长治县
593	襄垣县
594	屯留县
595	平顺县
596	黎城县
597	壶关县
598	长子县
599	武乡县
600	沁县
601	沁源县
602	高平市
603	泽州县
604	沁水县
605	阳城县
606	陵川县
607	原平市
608	定襄县
609	五台县
610	代县
611	繁峙县
612	宁武县
613	静乐县
614	神池县
615	五寨县
616	岢岚县
617	河曲县
618	保德县
619	偏关县
620	介休市
621	榆社县
622	左权县
623	和顺县
624	昔阳县
625	寿阳县
626	太谷县
627	祁县
628	平遥县
629	灵石县
630	侯马市
631	霍州市
632	曲沃县
633	翼城县
634	襄汾县
635	洪洞县
636	古县
637	安泽县
638	浮山县
639	吉县
640	乡宁县
641	蒲县
642	大宁县
643	永和县
644	隰县
645	汾西县
646	孝义市
647	汾阳市
648	文水县
649	中阳县
650	兴县
651	临县
652	方山县
653	柳林县
654	岚县
655	交口县
656	交城县
657	石楼县
658	托克托县
659	武川县
660	和林格尔县
661	清水河县
662	固阳县
663	宁城县
664	林西县
665	霍林郭勒市
666	开鲁县
667	满洲里市
668	扎兰屯市
669	牙克石市
670	根河市
671	额尔古纳市
672	丰镇市
673	卓资县
674	化德县
675	商都县
676	兴和县
677	凉城县
678	五原县
679	磴口县
680	阿尔山市
681	突泉县
682	二连浩特市
683	多伦县
684	新民市
685	辽中区
685	辽中县
686	康平县
687	法库县
688	北票市
689	凌源市
690	朝阳县
691	建平县
692	喀喇沁左翼蒙古族自治县
693	彰武县
694	阜新蒙古族自治县
695	调兵山市
696	开原市
697	铁岭县
698	西丰县
699	昌图县
700	抚顺县
701	新宾满族自治县
702	清原满族自治县
703	本溪满族自治县
704	桓仁满族自治县
705	灯塔市
706	辽阳县
707	海城市
708	台安县
709	岫岩满族自治县
710	凤城市
711	东港市
712	宽甸满族自治县
713	大石桥市
714	盖州市
715	大洼县
716	盘山县
717	凌海市
718	北镇市
719	黑山县
720	义县
721	兴城市
722	绥中县
723	建昌县
724	德惠市
725	九台区
726	榆树市
727	农安县
728	大安市
729	洮南市
730	镇赉县
731	通榆县
732	扶余市
733	长岭县
734	乾安县
735	前郭尔罗斯蒙古族自治县
736	磐石市
737	蛟河市
738	桦甸市
739	舒兰市
740	永吉县
741	双辽市
742	公主岭市
743	梨树县
744	伊通满族自治县
745	东丰县
746	东辽县
747	集安市
748	通化县
749	辉南县
750	柳河县
751	临江市
752	江源县
753	抚松县
754	靖宇县
755	长白朝鲜族自治县
756	图们市
757	敦化市
758	龙井市
759	和龙市
760	汪清县
761	安图县
762	双城市
763	尚志市
764	五常市
765	阿城市
766	依兰县
767	方正县
768	宾县
769	巴彦县
770	木兰县
771	通河县
772	延寿县
773	勃利县
774	讷河市
775	龙江县
776	依安县
777	泰来县
778	甘南县
779	富裕县
780	克山县
781	克东县
782	拜泉县
783	北安市
784	五大连池市
785	嫩江县
786	逊克县
787	孙吴县
788	肇州县
789	肇源县
790	林甸县
791	杜尔伯特蒙古族自治县
792	萝北县
793	绥滨县
794	铁力市
795	嘉荫县
796	同江市
797	富锦市
798	桦南县
799	桦川县
800	汤原县
801	抚远县
802	集贤县
803	友谊县
804	宝清县
805	饶河县
806	虎林市
807	密山市
808	鸡东县
809	穆棱市
810	绥芬河市
811	海林市
812	宁安市
813	东宁县
813	东宁市
814	林口县
815	安达市
816	肇东市
817	海伦市
818	望奎县
819	兰西县
820	青冈县
821	庆安县
822	明水县
823	绥棱县
824	呼玛县
825	塔河县
826	漠河县
827	高淳县
828	邳州市
829	新沂市
830	铜山县
831	睢宁县
832	沛县
833	丰县
834	赣榆区
835	灌云县
836	东海县
837	灌南县
838	沭阳县
839	泗阳县
840	泗洪县
841	金湖县
842	盱眙县
843	洪泽县
844	涟水县
845	东台市
846	大丰区
846	大丰市
847	射阳县
848	阜宁县
849	滨海县
850	响水县
851	建湖县
852	宝应县
853	靖江
854	泰兴市
855	姜堰区
855	姜堰市
856	兴化市
857	海门市
858	启东市
859	通州区
859	通州市
860	如皋市
861	如东县
862	海安县
863	扬中市
864	丹阳市
865	句容市
866	金坛区
867	溧阳
868	临安
869	富阳区
870	建德市
871	桐庐县
872	淳安县
873	长兴县
874	德清县
875	安吉县
876	平湖市
877	海宁市
878	桐乡市
879	嘉善县
880	海盐县
881	岱山县
882	嵊泗县
883	诸暨
884	上虞区
885	嵊州市
886	柯桥区
887	新昌县
888	江山市
889	常山县
890	开化县
891	龙游县
892	兰溪市
893	永康
894	东阳
895	武义县
896	浦江县
897	磐安县
898	临海市
899	温岭市
900	三门县
901	天台县
902	仙居县
903	玉环县
904	瑞安
905	乐清
906	永嘉县
907	文成县
908	平阳
909	泰顺县
910	洞头县
911	苍南
912	龙泉市
913	缙云县
914	青田县
915	云和县
916	遂昌县
917	松阳县
918	庆元县
919	景宁畲族自治县
920	长丰县
921	肥东县
922	肥西县
923	砀山县
924	萧县
925	灵璧县
926	泗县
927	濉溪县
928	涡阳县
929	蒙城县
930	利辛县
931	界首市
932	临泉县
933	太和县
934	阜南县
935	颍上县
936	怀远县
937	五河县
938	固镇县
939	凤台县
940	明光市
941	天长市
942	来安县
943	全椒县
944	定远县
945	凤阳县
946	当涂县
947	芜湖县
948	繁昌县
949	南陵县
950	义安区
950	铜陵县
951	桐城市
952	怀宁县
953	枞阳县
954	潜山县
955	太湖县
956	宿松县
957	望江县
958	岳西县
959	歙县
960	休宁县
961	黟县
962	祁门县
963	寿县
964	霍邱县
965	舒城县
966	金寨县
967	霍山县
968	庐江县
969	无为县
970	含山县
971	和县
972	东至县
973	石台县
974	青阳县
975	宁国市
976	郎溪县
977	广德县
978	泾县
979	旌德县
980	绩溪县
981	长乐
982	闽侯县
983	连江县
984	罗源县
985	闽清县
986	永泰县
987	平潭县
988	邵武市
989	武夷山
990	建瓯市
991	建阳区
991	建阳市
992	顺昌县
993	浦城县
994	光泽县
995	松溪县
996	政和县
997	仙游县
998	永安市
999	明溪县
1000	清流县
1001	宁化县
1002	大田县
1003	尤溪县
1004	沙县
1005	将乐县
1006	泰宁县
1007	建宁县
1008	石狮
1009	晋江
1010	南安市
1011	惠安县
1012	安溪县
1013	永春县
1014	德化县
1015	龙海
1016	云霄县
1017	漳浦县
1018	诏安县
1019	长泰县
1020	东山县
1021	南靖县
1022	平和县
1023	华安县
1024	漳平市
1025	长汀县
1026	永定区
1026	永定县
1027	上杭县
1028	武平县
1029	连城县
1030	福安市
1031	福鼎
1032	寿宁县
1033	霞浦县
1034	柘荣县
1035	屏南县
1036	古田县
1037	周宁县
1038	南昌县
1039	新建县
1040	安义县
1041	进贤县
1042	瑞昌市
1043	九江县
1044	武宁县
1045	修水县
1046	永修县
1047	德安县
1048	星子县
1049	都昌县
1050	湖口县
1051	彭泽县
1052	乐平市
1053	浮梁县
1054	贵溪市
1055	余江县
1056	分宜县
1057	莲花县
1058	上栗县
1059	芦溪县
1060	瑞金市
1061	南康区
1061	南康市
1062	赣县
1063	信丰县
1064	大余县
1065	上犹县
1066	崇义县
1067	安远县
1068	龙南县
1069	定南县
1070	全南县
1071	宁都县
1072	于都县
1073	兴国县
1074	会昌县
1075	寻乌县
1076	石城县
1077	德兴市
1078	上饶县
1079	广丰区
1079	广丰县
1080	玉山县
1081	铅山县
1082	横峰县
1083	弋阳县
1084	余干县
1085	鄱阳县
1086	万年县
1087	婺源县
1088	南城县
1089	黎川县
1090	南丰县
1091	崇仁县
1092	乐安县
1093	宜黄县
1094	金溪县
1095	资溪县
1096	东乡县
1097	广昌县
1098	丰城市
1099	樟树市
1100	高安市
1101	奉新县
